Fuel Station Name,Date/Time,Petrol/Diesel/Gas,Payment,Queue,Road,Suburb,Station,City
HRE Zuva 4th Street,27/11/2018 15:30,Petrol,Cardholders only,Short queue,Samora Machel/4th Street,Harare,Zuva,Harare
HRE Trek Samora,27/11/2018 13:30,,Cardholders only,,Leopold/Samora,Harare,Trek,Harare
HRE Trek Pomona,27/11/2018 13:30,Petrol,Cardholders only,,Harare Dr,Pomona,Trek,Harare
HRE Trek Avondale,27/11/2018 13:30,Petrol,Cardholders only ,,King George Rd,Avondale,Trek,Harare
HRE Trek Runiville,27/11/2018 13:30,Petrol,Cardholders only,,Glenroy Crescent/Glenara Road,Highlands,Trek,Harare
CHINHOYI Trek,27/11/2018 13:30,"Petrol,Diesel",Cardholders only,,Main Kariba Rd,Chinhoyi,Trek,Chinhoyi
HRE Trek Cripps,27/11/2018 13:30,Petrol,Cardholders only.,,Cripps Rd,Graniteside,Trek,Harare
HRE Trek Kirkman,27/11/2018 13:30,,Cardholders,,Kirkman Rd,Dzivarasekwa,Trek,Harare
MUTARE Trek,27/11/2018 13:30,"Diesel,Petrol",Cardholders only,,Car Sakubva/Vumba Rd,Mutare,Trek,Mutare
MAR Trek,27/11/2018 13:30,"Petrol,Diesel",Cardholders only,,,Marondera,Trek,Marondera
GWERU Trek,27/11/2018 13:30,"Diesel,Petrol",Cardholders only,,,Gweru,Trek,Harare
BYO Trek Fife St,27/11/2018 13:30,"Petrol,Diesel",Cardholders only,,Fife St,Bulawayo,Trek,Harare
BYO Trek Fort St (24hr),27/11/2018 13:30,"Diesel,Petrol",Cardholders only,,Fort St,Bulawayo,Trek,Bulawayo
HRE Trek Charter,27/11/2018 13:30,,Cardholders only,,Charter Rd ,Harare,Trek,Harare
HRE Trek Ford,27/11/2018 13:30,Petrol,Cardholder only,,,Harare,Trek,Harare
BYO Trek Khami,27/11/2018 13:30,,Cardholders only,,,Bulawayo,Trek,Bulawayo
BYO Trek Main,27/11/2018 13:30,,,,Main St,Bulawayo,Trek,Bulawayo
HRE Trek J Chinamano,27/11/2018 13:30,,Cardholders only,,Josiah Chinamano,Harare,Trek,Harare
BYO Trek R Mugabe,27/11/2018 13:30,"Petrol,Diesel",Cardholders only,,Robert Mugabe,Bulawayo,Trek,Bulawayo
HRE Trek Msasa,27/11/2018 13:30,,Cardholders only,,,Msasa,Trek,Harare
HRE Trek (Superfuels),27/11/2018 13:30,,,,Byo Road,"Tynwald, Harare",Trek,Harare
HRE Trek Snake Park,27/11/2018 13:30,,,,Byo Road,"Tynwald, Harare",Trek,Harare
HRE Trek Kambazuma (Thuli),27/11/2018 13:30,,,,,Harare,Trek,Harare
HRE Puma Mbare,27/11/2018 13:10,"Diesel,Petrol",All methods,Manageable queue,,Mbare,Puma,Harare
HRE Zuva Groombridge,27/11/2018 13:00,"Diesel,Gas",All,,The Chase,Mount Pleasant/Groombridge,Zuva,Harare
HRE Zuva Kamfinsa,27/11/2018 12:30,Diesel,,,Arcturus Rd,Kamfinsa,Zuva,Harare
HRE Total Second St/Kwame,27/11/2018 12:05,Petrol,Everyone/Swipe,Long queue,Second Street/Kwame Nkrumahj,Harare,Total,Harare
HRE Zuva Marimba,27/11/2018 12:04,Petrol,Everyone/Swipe,"Queue building, tanker offloading",Samora Machel Rd,Belvedere,Zuva,Harare
HRE Petrotrade Kamfinsa,27/11/2018 12:00,Petrol,,Chaotic queue,Arcturus Rd,Kamfinsa,Petrotrade,Harare
HRE Engen Sunridge,27/11/2018 12:00,Petrol,Ecocash/Cash,,,Mabelreign,Engen,Harare
HRE Total Churchill,27/11/2018 11:30,Diesel,Everyone/Swipe,,Churchill Ave,Belgravia,Total,Harare
HRE Total Avondale (24hr),27/11/2018 11:00,"Petrol,Diesel",Everyone/Swipe,Short queue,King George Rd,Avondale,Total,Harare
HRE Total Kensington,27/11/2018 10:40,Petrol,All methods,,Connaught/Prince Edward,Kensington,Total,Harare
HRE Engen Bluff Hill,27/11/2018 10:05,Petrol,Everyone/Swipe,"Short queue but building up, tanker has just left",Corner Lomagundi/Helena,Bluff Hill,Engen,Harare
HRE Zuva Bond,27/11/2018 09:30,,Everyone/Swipe no ecocash,Run out of diesel.,Bond St,Mount Pleasant,Zuva,Harare
HRE Zuva Rhodesville,27/11/2018 07:30,Diesel,Everyone/Swipe & Ecocash,,Rhodesville Ave,Greendale,Zuva,Harare
BYO Zuva Hillside,27/11/2018 07:30,Petrol,Everyone/Swipe & cash,Queue growing. Serving 20 L per car,"Matopos Rd, opposite trade fair grounds",Hillside,Zuva,Bulawayo
HRE Zuva Rolf Valley,27/11/2018 07:20,Petrol,,,Fisher Ave,Rolf Valley,Zuva,Harare
BYO Total 12th,27/11/2018 07:00,Petrol,Everyone/Swipe,"Queue short, moving well",On 12th between Robert Mugabe and Josiah Tongogara,Bulawayo,Total,Bulawayo
HRE Total Helensvale,27/11/2018 07:00,Petrol,All payment methods accepted.,,Borrowdale Rd,Helensvale,Total,Harare
HRE Total Newlands,27/11/2018 06:15,Petrol,,Short queue,"Old Enterprise Road, Shopping Centre",Newlands,Total,Harare
HRE Zuva Helensvale (24hr),27/11/2018 06:11,Diesel,Everyone/Swipe,,Borrowdale Rd,Helensvale,Zuva,Harare
HRE Ram Ballantyne,27/11/2018 06:00,Diesel,Cardholders,Short queue,Wellburn Dr/Lloyd Rd,Ballantyne,Ram,Harare
HRE Engen Avondale,26/11/2018 19:30,Petrol,Al methods,Fast moving queue,King George Rd,Avondale,Engen,Harare
HRE Trek Queensdale,26/11/2018 18:45,Petrol,,Short queue,Chiremba Rd,Queensdale,Trek,Harare
HRE Zuva Pendennis,26/11/2018 17:15,Diesel,Swipe or cash/ ecocash not working,None,Pendennis Rd,Northwood,Zuva,Harare
HRE Engen Graniteside,26/11/2018 16:20,Petrol,Swipe,Queue building up,,Graniteside,Engen,Harare
HRE Total The Chase,26/11/2018 16:07,Petrol,,Offloading now,The Chase,Mount Pleasant,Total,Harare
HRE Puma Ashbrittle,26/11/2018 14:00,"Petrol,Diesel",Everyone/Swipe,,Golden Stairs,Ashbrittle,Puma,Harare
HRE Zuva Piers,26/11/2018 13:00,Petrol,,,Piers Rd,Borrowdale,Zuva,Harare
HRE Zuva Montague,26/11/2018 11:00,Petrol,,Long queue slowly well,Harare St/J. Chinamano,Harare,Zuva,Harare
BYO Trek 15th/Fort Street,26/11/2018 08:30,"Petrol,Diesel","Everyone, all methods",,15th/Fort Street,Bulawayo,Trek,Harare
BYO Trek 12th Ave,26/11/2018 08:30,"Petrol,Diesel","Everyone, all methods",Short,12th Ave/Fife St,Town,Trek,Bulawayo
BYO Flo Bob's Nust,26/11/2018 08:30,"Petrol,Diesel",,Short,Byo/Gwanda Road,Bulawayo,Flo Petroleum,Bulawayo
HRE Puma Bond,26/11/2018 08:00,,,,The Chase,Mount Pleasant,Puma,Harare
HRE Puma Lewisam,26/11/2018 08:00,,Everyone/Swipe,,Enterprise Rd,Lewisam,Puma,Harare
HRE Total Belgravia (24hr),25/11/2018 11:39,Petrol,Everyone/Swipe,50 cars,Second Street/Churchill,Belgravia,Total,Harare
HRE Trek Hre Dr/Alpes,25/11/2018 11:30,"Petrol,Diesel",Cardholders,,Harare Dr,Northwood,Trek,Harare
HRE Trek Graniteside (24hr),25/11/2018 11:30,"Diesel,Petrol",Cardholders,,Kelvin Corner Cripps,Graniteside,Trek,Harare
HRE Zuva Coventry,25/11/2018 11:30,"Diesel,Petrol",All,No queue,Coventry Rd,Workington,Zuva,Harare
HRE Puma Westgate,25/11/2018 11:02,Petrol,Swipe/Ecocash,No queue yet,Westgate complex,Westgate,Puma,Harare
HRE Puma Glenara (24hr),25/11/2018 10:00,Petrol,,"Queue building, will serve at 10",Glenara Ave,Highlands,Puma,Harare
